age,n_eye,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_PROT,N_FAT,HE_HP,HE_BMI,smoke,E_Q_FAM,E_Q_SUN,BP8
10대 중반,166,330,384,745.4739999999999,6.453999999999999,507.41,333.384,76.812,55.669999999999995,0,20.886000000000003,0,342,131,7.356
10대 초반,107,279,223,683.198,6.719999999999999,519.658,315.45199999999994,70.076,49.102000000000004,0,19.108,0,99,36,8.15
10대 후반,119,220,228,705.844,8.586000000000002,463.6719999999999,314.806,75.61,56.426,10,21.716,84,195,151,6.952000000000001
10세 미만,117,401,811,536.164,6.144,477.10600000000005,228.27399999999997,49.592,34.856,0,,0,0,0,1.6
20대 중반,87,334,196,788.108,6.960000000000001,488.122,296.64199999999994,77.57000000000001,54.448,70,22.246000000000002,512,261,357,7.196000000000001
20대 초반,69,185,146,703.2819999999999,8.174000000000001,447.70200000000006,284.11199999999997,72.46400000000001,54.01400000000001,26,21.967999999999996,253,129,224,7.331999999999999
20대 후반,58,294,164,846.952,8.15,516.5219999999999,307.16600000000005,78.75399999999999,52.565999999999995,87,22.974,470,232,249,7.202000000000001
30대 중반,71,490,261,904.298,6.776000000000001,536.454,319.954,78.096,48.727999999999994,229,23.262,900,589,437,7.0920000000000005
30대 초반,63,308,187,888.3799999999999,6.084,521.158,313.27799999999996,78.46400000000001,51.056,116,23.157999999999998,547,292,269,7.1739999999999995
30대 후반,62,399,203,906.856,6.664,514.32,314.67600000000004,75.204,45.794,248,23.348,739,499,373,7.0
40대 중반,80,410,205,950.952,6.17,528.8900000000001,321.24000000000007,73.70400000000001,41.476,496,23.94,726,543,447,6.903999999999999
40대 초반,67,392,171,946.298,6.292,541.1899999999999,325.04200000000003,76.67999999999999,44.944,331,23.842,661,496,355,6.916000000000001
40대 후반,73,292,144,930.49,6.606,540.164,321.166,72.962,38.86,454,23.92,552,394,364,6.848000000000001
50대 중반,90,346,187,900.0459999999999,8.316,525.3520000000001,326.044,68.40799999999999,33.214,862,24.214000000000002,634,459,562,6.824
50대 초반,74,267,162,911.9040000000001,5.604,529.7819999999999,323.43,69.53,35.266000000000005,598,24.03,568,441,424,6.922
50대 후반,42,212,120,889.3460000000001,6.502,523.426,330.706,68.428,32.632,687,24.37,424,269,421,6.766
60대 중반,134,211,126,790.11,6.4159999999999995,481.65200000000004,325.21200000000005,62.67,28.574,1136,24.222,509,255,638,6.7299999999999995
60대 초반,92,187,97,845.2220000000001,5.572,509.122,328.88399999999996,65.67399999999999,31.2,797,24.332,447,268,471,6.8340000000000005
60대 후반,147,128,103,700.7040000000001,5.824000000000001,433.22799999999995,312.534,56.95799999999999,24.668,954,24.158,398,177,504,6.564
70대 중반,221,94,117,568.418,4.838,387.49999999999994,289.63800000000003,49.708,20.270000000000003,1039,23.606,408,126,468,6.605999999999999
70대 초반,167,96,91,634.028,5.126,432.48199999999997,305.71799999999996,54.391999999999996,22.258,904,23.96,373,149,425,6.534000000000001
70대 후반,131,39,50,518.142,6.1,362.75600000000003,275.834,47.63000000000001,19.21,537,23.297999999999995,201,52,215,6.692
80세 이상,240,30,70,454.14399999999995,4.351999999999999,333.35,253.704,42.612,16.689999999999998,621,22.605999999999998,216,51,191,7.242
